miRNA,3256_p,3262_p,3263_p,3267_p,3271_p,3273_p,3274_p,3275_p,3276_p,3277_p,3279_p,3280_p,3281_p,3282_p,3283_p,3284_p,3287_p,3288_p,3289_p,3290_p,3304_p,3318_p
hsa-miR-3150a-5p,3.1684,2.1197,1.9187,3.2266,3.2685,3.2607,0.568,1.0985,0.0,0.4183,1.4994,0.3282,1.7181,0.9067,0.3439,0.2017,1.1713,0.6393,2.3523,0.9106,0.8227,1.269
hsa-miR-3150b-3p,0.0,0.0,0.3386,0.0,0.0,0.3836,0.0,0.0,0.0,0.5228,0.441,0.547,0.0,0.3022,0.0,0.0,0.0,1.2786,0.0,0.0,0.0,0.0
hsa-miR-3150b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3151-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3151-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.274,0.0,0.2024,0.0,0.0
hsa-miR-3152-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3152-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3153-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3153-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3154,0.0,0.0,0.0,0.605,5.1362,0.0,1.42,0.0,0.0,1.8822,0.0,2.0787,2.8993,1.7127,1.3757,0.0,0.0,0.6393,2.0315,2.226,7.7565,1.3959
hsa-miR-3155a-3p/3155b,0.7921,0.0,0.6772,0.9075,0.0,0.5754,0.0,0.5493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3155a-5p,0.4526,0.0,0.0,0.5042,0.0,0.2877,0.0,0.2746,0.7762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4566,0.0,0.0,0.0,0.0
hsa-miR-3156-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1827,0.0,0.0,0.0,0.0
hsa-miR-3156-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3157-3p,0.0,1.7343,0.3386,0.2017,0.0,0.3836,0.0,0.0,0.0,0.9411,0.2646,0.2188,0.4295,0.0,0.0,0.0,0.0,1.0959,0.0,0.4047,0.0,0.0
hsa-miR-3157-5p,1.2447,0.0,1.5801,1.7141,0.0,1.5344,1.704,1.6478,2.1067,1.8822,2.0286,1.6411,1.6107,1.612,2.2355,1.7141,1.8741,1.5526,1.0692,0.3035,0.0,0.0
hsa-miR-3158-3p,4.8657,0.9635,3.3859,0.0,2.0233,4.2197,1.5146,1.1901,14.8579,5.0192,2.4696,4.0481,6.0134,6.6495,1.9775,2.7224,3.2797,3.0138,1.1761,2.8331,3.0556,6.9797
hsa-miR-3158-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2746,0.0,0.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3159,0.0,0.0,0.0,0.0,0.0,0.0,0.284,0.0,0.0,0.0,0.0,0.0,0.0,0.7052,0.0,0.7058,0.0,0.0,0.0,0.6071,0.0,0.0
hsa-miR-3160-3p,0.2263,0.0,0.0,0.0,0.0,0.3836,0.0,0.1831,0.0,0.0,0.1764,0.0,0.0,0.5037,0.0,0.0,0.0,0.7306,0.0,0.0,0.0,0.0
hsa-miR-3160-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.274,0.0,0.0,0.0,0.0
hsa-miR-3161-3p,0.0,0.1927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3161-5p,2.6026,0.0,0.0,0.0,4.5136,0.0,4.2599,0.0,0.0,5.0192,0.0,1.8599,0.0,0.0,1.8056,0.0,0.0,4.201,0.0,0.0,2.3505,1.1421
hsa-miR-3162-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3162-5p,1.5842,0.3854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8177,1.5177,0.0,0.0
hsa-miR-3163,0.0,0.0,2.1444,0.0,0.0,0.4795,0.3787,0.5493,6.3202,1.0457,0.0,0.7658,0.0,1.209,0.7738,0.5042,0.0,1.8265,0.0,0.6071,1.1752,0.0
hsa-miR-3164-3p,0.0,0.0,0.0,0.0,0.0,0.1918,0.0,0.0,0.0,0.0,0.5292,0.0,0.0,0.0,0.0,0.0,0.2343,0.0,0.0,0.0,0.0,0.0
hsa-miR-3164-5p,0.0,1.7343,3.4988,1.3108,4.2023,0.4795,0.6627,1.1901,3.659,0.2091,0.6174,1.7505,2.0403,3.224,1.8056,2.4199,1.0542,1.3699,1.2831,2.8331,0.4701,1.0152
