miRNA,3256_p,3262_p,3263_p,3267_p,3271_p,3273_p,3274_p,3275_p,3276_p,3277_p,3279_p,3280_p,3281_p,3282_p,3283_p,3284_p,3287_p,3288_p,3289_p,3290_p,3304_p,3318_p
hsa-miR-1268a/1268b,9.0,22.0,14.0,22.0,31.0,7.0,12.0,13.0,0.0,9.0,27.0,7.0,19.0,5.0,13.0,14.0,10.0,18.0,14.0,7.0,31.0,8.0
hsa-miR-1269a-3p,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1269a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1269b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-127-3p,5925.0,2837.0,1802.0,12916.0,10474.0,5433.0,15918.0,3190.0,347.0,8515.0,4818.0,10620.0,1964.0,10085.0,10107.0,10812.0,21799.0,9334.0,5671.0,10824.0,13022.0,6173.0
hsa-miR-127-5p,194.0,43.0,16.0,104.0,76.0,216.0,349.0,91.0,0.0,84.0,166.0,119.0,39.0,109.0,295.0,89.0,536.0,93.0,130.0,289.0,67.0,30.0
hsa-miR-1270-3p,3.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,5.0,0.0
hsa-miR-1270-5p,169.0,24.0,234.0,186.0,149.0,226.0,195.0,131.0,354.0,212.0,95.0,260.0,202.0,150.0,77.0,127.0,181.0,76.0,229.0,175.0,371.0,263.0
hsa-miR-1271-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1271-5p,144.0,201.0,64.0,334.0,117.0,296.0,177.0,181.0,41.0,133.0,136.0,118.0,218.0,256.0,185.0,155.0,269.0,493.0,204.0,296.0,173.0,69.0
